nieb/bron/osiagalnosc/raidReady/trudnosc | PRZED -> PO | bit-identyczne?
1/2/OSIAG/obóz/easy                | stoi/bezczynna [idle 0/300]    -> stoi/bezczynna [idle 0/300]    | TAK
1/2/OSIAG/obóz/normal              | stoi/bezczynna [idle 294/300]  -> stoi/bezczynna [idle 0/300]    | nie
1/2/OSIAG/obóz/hard                | stoi/bezczynna [idle 294/300]  -> stoi/bezczynna [idle 0/300]    | nie
1/2/NIEOS/raid/easy                | stoi/bezczynna [idle 0/300]    -> stoi/bezczynna [idle 0/300]    | TAK
1/2/NIEOS/raid/normal              | stoi/bezczynna [idle 296/300]  -> stoi/bezczynna [idle 0/300]    | nie
1/2/NIEOS/raid/hard                | stoi/bezczynna [idle 296/300]  -> stoi/bezczynna [idle 0/300]    | nie
1/2/NIEOS/obóz/easy                | stoi/bezczynna [idle 0/300]    -> stoi/bezczynna [idle 0/300]    | TAK
1/2/NIEOS/obóz/normal              | stoi/bezczynna [idle 294/300]  -> stoi/bezczynna [idle 0/300]    | nie
1/2/NIEOS/obóz/hard                | stoi/bezczynna [idle 294/300]  -> stoi/bezczynna [idle 0/300]    | nie
2/0/OSIAG/raid/easy                | stoi/bezczynna [idle 0/300]    -> KRAZENIE okres 20 [idle 0/300] | nie
2/0/OSIAG/raid/normal              | KRAZENIE okres 20 [idle 0/300] -> KRAZENIE okres 20 [idle 0/300] | TAK
2/0/OSIAG/raid/hard                | KRAZENIE okres 20 [idle 0/300] -> KRAZENIE okres 20 [idle 0/300] | TAK
2/0/OSIAG/obóz/easy                | stoi/bezczynna [idle 0/300]    -> stoi/bezczynna [idle 0/300]    | TAK
2/0/OSIAG/obóz/normal              | stoi/bezczynna [idle 294/300]  -> stoi/bezczynna [idle 0/300]    | nie
2/0/OSIAG/obóz/hard                | stoi/bezczynna [idle 294/300]  -> stoi/bezczynna [idle 0/300]    | nie
2/1/OSIAG/raid/easy                | stoi/bezczynna [idle 0/300]    -> dociera@48 [idle 0/49]         | nie
2/1/OSIAG/raid/normal              | KRAZENIE okres 20 [idle 0/300] -> dociera@48 [idle 0/49]         | nie
2/1/OSIAG/raid/hard                | KRAZENIE okres 20 [idle 0/300] -> dociera@48 [idle 0/49]         | nie
2/1/OSIAG/obóz/easy                | stoi/bezczynna [idle 0/300]    -> stoi/bezczynna [idle 0/300]    | TAK
2/1/OSIAG/obóz/normal              | stoi/bezczynna [idle 294/300]  -> stoi/bezczynna [idle 0/300]    | nie
2/1/OSIAG/obóz/hard                | stoi/bezczynna [idle 294/300]  -> stoi/bezczynna [idle 0/300]    | nie
2/1/NIEOS/raid/easy                | stoi/bezczynna [idle 0/300]    -> stoi/bezczynna [idle 0/300]    | nie
2/1/NIEOS/raid/normal              | KRAZENIE okres 20 [idle 29/300] -> stoi/bezczynna [idle 0/300]    | nie
